id,calling_code,capital_city,code_2,code_3,continent_id,currency_id,flag,name
ad,376,安道尔城,ad,and,eu,eur,🇦🇩,安道尔
ae,971,阿布扎比,ae,are,as,aed,🇦🇪,阿拉伯联合酋长国
af,93,喀布尔,af,afg,as,afn,🇦🇫,阿富汗
ag,1268,圣约翰,ag,atg,na,xcd,🇦🇬,安提瓜和巴布达
ai,1264,瓦利,ai,aia,na,xcd,🇦🇮,安圭拉
al,355,地拉那,al,alb,eu,all,🇦🇱,阿尔巴尼亚
am,374,埃里温,am,arm,as,amd,🇦🇲,亚美尼亚
ao,244,罗安达,ao,ago,af,aoa,🇦🇴,安哥拉
aq,672,,aq,ata,an,,🇦🇶,南极洲
ar,54,布宜诺斯艾利斯,ar,arg,sa,ars,🇦🇷,阿根廷
as,1684,帕果帕果,as,asm,oc,usd,🇦🇸,美属萨摩亚
at,43,维也纳,at,aut,eu,eur,🇦🇹,奥地利
au,61,堪培拉,au,aus,oc,aud,🇦🇺,澳大利亚
aw,297,奥拉涅斯塔德,aw,abw,na,awg,🇦🇼,阿鲁巴
ax,358,玛丽港,ax,ala,eu,eur,🇦🇽,奥兰群岛
az,994,巴库,az,aze,as,azn,🇦🇿,阿塞拜疆
ba,387,萨拉热窝,ba,bih,eu,bam,🇧🇦,波斯尼亚和黑塞哥维那
bb,1246,布里奇顿,bb,brb,na,bbd,🇧🇧,巴巴多斯
bd,880,达卡,bd,bgd,as,bdt,🇧🇩,孟加拉国
be,32,布鲁塞尔,be,bel,eu,eur,🇧🇪,比利时
bf,226,瓦加杜古,bf,bfa,af,xof,🇧🇫,布基纳法索
bg,359,索非亚,bg,bgr,eu,bgn,🇧🇬,保加利亚
bh,973,麦纳麦,bh,bhr,as,bhd,🇧🇭,巴林
bi,257,布琼布拉,bi,bdi,af,bif,🇧🇮,布隆迪
bj,229,波多诺伏,bj,ben,af,xof,🇧🇯,贝宁
bl,590,古斯塔维亚,bl,blm,na,eur,🇧🇱,圣巴泰勒米
bm,1441,哈密尔顿,bm,bmu,na,bmd,🇧🇲,百慕大
bn,673,斯里巴加湾市,bn,brn,as,bnd,🇧🇳,文莱
bo,591,苏克雷,bo,bol,sa,bob,🇧🇴,玻利维亚
bq,599,,bq,bes,na,usd,🇧🇶,博内尔、圣尤斯特歇斯和萨巴
br,55,巴西利亚,br,bra,sa,brl,🇧🇷,巴西
bs,1242,拿骚,bs,bhs,na,bsd,🇧🇸,巴哈马
bt,975,廷布,bt,btn,as,btn,🇧🇹,不丹
bv,55,,bv,bvt,an,nok,🇧🇻,布韦岛
bw,267,哈博罗内,bw,bwa,af,bwp,🇧🇼,博茨瓦纳
by,375,明斯克,by,blr,eu,byr,🇧🇾,白俄罗斯
bz,501,贝尔莫潘,bz,blz,na,bzd,🇧🇿,伯利兹
ca,1,渥太华,ca,can,na,cad,🇨🇦,加拿大
cc,61,西岛,cc,cck,as,aud,🇨🇨,科科斯（基林）群岛
cd,243,金沙萨,cd,cod,af,cdf,🇨🇩,刚果民主共和国
cf,236,班吉,cf,caf,af,xaf,🇨🇫,中非共和国
cg,242,布拉柴维尔,cg,cog,af,xaf,🇨🇬,刚果共和国
ch,41,伯尔尼,ch,che,eu,chf,🇨🇭,瑞士
ci,225,亚穆苏克罗,ci,civ,af,xof,🇨🇮,科特迪瓦
ck,682,阿瓦鲁阿,ck,cok,oc,nzd,🇨🇰,库克群岛
cl,56,圣地亚哥,cl,chl,sa,clp,🇨🇱,智利
cm,237,雅温得,cm,cmr,af,xaf,🇨🇲,喀麦隆
cn,86,北京,cn,chn,as,cny,🇨🇳,中国
co,57,波哥大,co,col,sa,cop,🇨🇴,哥伦比亚
cr,506,圣何塞,cr,cri,na,crc,🇨🇷,哥斯达黎加
cu,53,哈瓦那,cu,cub,na,cup,🇨🇺,古巴
cv,238,普拉亚,cv,cpv,af,cve,🇨🇻,佛得角
cw,599,威廉斯塔德,cw,cuw,na,ang,🇨🇼,库拉索
cx,61,飞鱼湾,cx,cxr,as,aud,🇨🇽,圣诞岛
cy,357,尼科西亚,cy,cyp,eu,eur,🇨🇾,塞浦路斯
